questions,answer,hints
भारतीय संविधान द्वारा भारत के महान्यायवादी को नियुक्त करने का अधिकार किसे है?,भारत के राष्ट्रपति,पहले उन्होंने बिहार के राज्यपाल के रूप में कार्य किया था
कार्यकाल समाप्त होने से पहले भारत के राष्ट्रपति को किस प्रक्रिया से हटाया जा सकता है?,दोषारोपण,"यह ""मैं"" से शुरू होता है"
"यह ""मैं"" से शुरू होता है",दुर्गा दास बसु,वह एक भारतीय न्यायविद और वकील थे और उन्हें 1985 में पद्म भूषण से सम्मानित किया गया था
भारत की स्वतंत्रता के दौरान ब्रिटिश प्रधान मंत्री कौन थे?,क्लेमेंट एटली,क्लेमेंट एटली...
सर्वोच्च न्यायालय के न्यायाधीशों की नियुक्ति करने का अधिकार किसे है?,भारत के राष्ट्रपति,पहले उन्होंने बिहार के राज्यपाल के रूप में कार्य किया था
भारतीय संविधान के प्रमुख वास्तुकार के रूप में किसे माना जाता है?,B.R.Ambedkar,उन्होंने अछूतों (दलितों) के प्रति सामाजिक भेदभाव के खिलाफ अभियान चलाया
राज्य में जिला न्यायाधीशों द्वारा नियुक्त किए जाते हैं,राज्यपाल,एक राजनेता का शीर्षक जो एक घटक राज्य को नियंत्रित करता है
कौन से केंद्र शासित प्रदेश अपने सदस्यों को राज्यों की परिषद में भेजते हैं?,दिल्ली,भारत की राजधानी
भारत में राष्ट्रीय आपातकाल की घोषणा को कितनी बार लागू किया गया है?,तीन,"एक, दो या तीन"
"वर्तमान में, केंद्र शासित प्रदेशों से लोकसभा के कितने सदस्य चुने जा सकते हैं?",20,"17,25,20,12"
संविधान की कौन सी अनुसूची अनुसूचित क्षेत्रों और अनुसूचित जनजातियों के प्रशासन और नियंत्रण के लिए विशेष प्रावधान करती है?,5 वीं अनुसूची, 
"संविधान के किस अनुसूची में असम, मेघालय, त्रिपुरा और मिजोरम के जनजातीय क्षेत्रों के प्रशासन के लिए प्रावधान हैं?",6 वीं अनुसूची, 
किसी राज्य की विधान सभा द्वारा पारित विधेयक को विधान परिषद द्वारा अधिकतम अवधि तक विलंबित किया जा सकता है?,तीन महीना, 
पंचायत के सदस्य के रूप में चुनाव के लिए निर्धारित न्यूनतम आयु है,21 साल, 
संसद के सदस्य की अयोग्यता के बारे में विवाद का फैसला करने के लिए कौन अधिकृत है?,भारत के राष्ट्रपति, 
भारत के राष्ट्रपति...,सर्वोच्च के न्यायाधीश की सेवानिवृत्ति की आयु क्या है, 
भारत का संविधान एक प्रदान करता है,सरकार की कैबिनेट प्रणाली, 
श्री पी.वी.नरसिम्हा राव भारत के _______ प्रधान मंत्री हैं,नौवां, 
भारतीय संविधान ने प्रस्तावना के विचारों को उधार लिया है,संयुक्त राज्य अमेरिका का संविधान, 
किसी भी कारखाने या खान में रोजगार के लिए न्यूनतम अनुमेय आयु क्या है?,14 वर्ष, 
लोकसभा के रूप में भी जाना जाता है,लोगों का घर, 
राज्य सभा के अध्यक्ष हैं,भारत के उपराष्ट्रपति, 
भारत के उपराष्ट्रपति,सरकार जनरल, 
