questions,answer,hints
"NITI Aayog AIM ने 15 दिसंबर, 2017 को किस दिन लॉन्च किया था?",अटल टिंकरिंग लैब का सामुदायिक दिवस, 
भारत ने एक HLC का गठन किया है जिसके तहत NITI Aayog के कार्यकारी को NPA को बिजली क्षेत्र में संबोधित करना है?,अमिताभ कांत, 
नेशनल इंस्टीट्यूशन फॉर ट्रांसफॉर्मिंग इंडिया / NITI Aayog ने किस संगठन के साथ ITS के लिए SOI पर हस्ताक्षर किए?,IRF जिनेवा, 
सितंबर 2017 में NITI Aayog के नए उपाध्यक्ष के रूप में किसने पदभार संभाला?,राजीव कुमार, 
किस सरकारी एजेंसी ने राज्य सांख्यिकी की एक पुस्तिका विकसित की है?,नीति आयोग, 
NITI Aayog ने मुकदमों में देरी की जाँच करने और मामलों की पेंडेंसी को रोकने के लिए क्या सूचकांक जारी किया है।,न्यायिक प्रदर्शन सूचकांक, 
MyGov के साथ साझेदारी में NITI Aayog और किस अंतर्राष्ट्रीय संस्था ने वुमन ट्रांसफॉर्मिंग इंडिया अवार्ड्स 2017 की घोषणा की?,संयुक्त राष्ट्र, 
"NITI Aayog ने 3,500 मैन्युफैक्चरिंग फर्मों के एंटरप्राइज सर्वे पर कौन सी रिपोर्ट लॉन्च की है?","NITI Aayog ने 3,500 मैन्युफैक्चरिंग फर्मों के एंटरप्राइज सर्वे पर कौन सी रिपोर्ट लॉन्च की है?", 
NITI Aayog ने छात्रों के लिए कौन सा रणनीतिक भवन बनाने की पहल की है?,मेंटर इंडिया अभियान, 
मेंटर इंडिया अभियान...,"यूपी, असम और कर्नाटक", 
डॉ। राजीव कुमार को किस सरकार के थिंक टैंक का उपाध्यक्ष नियुक्त किया गया है?,नीति आयोग, 
एकेडेमिया में करियर बनाने के लिए NITI Aayog के उपाध्यक्ष के रूप में किसने कदम रखा है?,अरविंद पनागरिया, 
अरविंद पनागरिया...,NITI Aayog द्वारा तैयार नई ऊर्जा नीति ने संकेत दिया है कि किस राज्य द्वारा नियंत्रित PSU को 7 इकाइयों में विभाजित किया जाना चाहिए?..., 
कोल इंडिया...,नागपुर, 
नागपुर,अमिताभ कांत और रतन पी वटल, 
NITI Aayog ने एक टास्क फोर्स का गठन किया है,समय पर रोजगार डेटा उत्पन्न करें और विश्वसनीय रोजगार जानकारी उत्पन्न करें, 
करों के संदर्भ में वायु प्रदूषण से निपटने के लिए नीती आयोग उपाय का क्या हिस्सा है?,पेट्रोल / डीजल पर अधिक कर, 
व्यवसाय करने में आसानी को बेहतर बनाने के लिए किस समिति को समाप्त कर दिया जाएगा?,व्यवसाय करने में आसानी को बेहतर बनाने के लिए किस समिति को समाप्त कर दिया जाएगा?..., 
पीपीपी परियोजनाओं और पीपीएसी के लिए वित्त मंत्रालय की समिति,"""स्वास्थ्य परिणामों पर प्रदर्शन"" सूचकांक किस संगठन के साथ स्वास्थ्य और परिवार कल्याण मंत्रालय द्वारा संचालित किया गया था?...", 
"NITI Aayog द्वारा गठित डिजिटल भुगतान प्रणालियों के उपयोग की जांच और बढ़ावा देने के लिए समिति के संबंध में राज्य सही और गलत है। ""इसमें सभी राज्यों / संघ राज्य क्षेत्रों के मुख्यमंत्री शामिल हैं।""",असत्य, 
"NITI Aayogie द्वारा गठित डिजिटल भुगतान प्रणालियों के उपयोग की जांच करने और बढ़ावा देने के लिए राज्य सच और फर्ल्सगेयरिंग समिति यानी ""समिति में NITI Aayog के उपाध्यक्ष भी शामिल होंगे""?","NITI Aayogie द्वारा गठित डिजिटल भुगतान प्रणालियों के उपयोग की जांच करने और बढ़ावा देने के लिए राज्य सच और फर्ल्सगेयरिंग समिति यानी ""समिति में NITI Aayog के उपाध्यक्ष भी शामिल होंगे""?...", 
सरकारी नागरिकों के लेन-देन को डिजिटल प्लेटफॉर्म पर 100 प्रतिशत सुनिश्चित करने के लिए अधिकारियों की समिति का नेतृत्व कौन कर रहा है?,सरकारी नागरिकों के लेन-देन को डिजिटल प्लेटफॉर्म पर 100 प्रतिशत सुनिश्चित करने के लिए अधिकारियों की समिति का नेतृत्व कौन कर रहा है?..., 
अमिताभ कांत,नीती आयोग भारत के लिए अपनी लंबी तटरेखा का दोहन करने का लक्ष्य लेकर चल रहा है कि वह किस प्रकार की अर्थव्यवस्था है?..., 
नीला,सच, 
नीती अयोग अगले कितने वर्षों के भीतर राष्ट्र की खाद्य आवश्यकताओं की मैपिंग पर काम करेगा?,नीती अयोग अगले कितने वर्षों के भीतर राष्ट्र की खाद्य आवश्यकताओं की मैपिंग पर काम करेगा?, 
उम्मीदवार अब नीती अयोग प्रस्ताव की सरकार की मंजूरी के बाद केंद्र सरकार में भर्ती के लिए अपने चयन के किस पहलू का उपयोग कर पाएंगे?,रैंकिंग और स्कोर, 
रैंकिंग और स्कोर...,सिद्धांत सलाहकार, 
"सही और गलत राज्य ""सहकारी संघवाद को बढ़ावा देना NITI Aayog का कार्य है""?",सच, 
सच,NITI Aayog ने शहरी कायाकल्प मिशन के कार्यान्वयन में क्षमता निर्माण के लिए किस देश के साथ समझौता ज्ञापन किया है?..., 
सिंगापुर,पंचवर्षीय योजनाएँ, 
"राज्य के सच्चे और झूठे ""बाहर के विचारों को नीति-निर्माण में लाने का उपकरण NITI Aayog का कार्य है""?",सच, 
Innovation ग्रैंड इनोवेशन चैलेंज ’किसने शुरू किया है?,नीति आयोग, 
NITI Aayog मॉडल अधिनियम लाने के लिए तैयार है,NITI Aayog मॉडल अधिनियम लाने के लिए तैयार है..., 
खेत की जमीन का पट्टा...,भारत को बदलने वाली महिला, 
भारत सरकार ने सीपीएसई के रणनीतिक विनिवेश के लिए निवेश विभाग और सार्वजनिक परिसंपत्ति प्रबंधन प्रस्ताव को मंजूरी दे दी है। CPSE क्या हैं?,केंद्रीय सार्वजनिक क्षेत्र के उद्यम, 
केंद्रीय मंत्रिमंडल ने NITI Aayog में AIM और SETU की स्थापना को मंजूरी दे दी है। AIM और SETU का क्या मतलब है?,"अटल आविष्कार मिशन, स्व रोजगार और प्रतिभा उपयोग", 
ICT अकादमी मूल रूप से किस राज्य में शुरू हुई?,तमिलनाडु, 
"राज्य का सच्चा और झूठा ""एक सेवारत IES अधिकारी, Niti Aayog का अंशकालिक सदस्य बन सकता है""",असत्य, 
CSS को युक्तिसंगत बनाने के लिए NITI Aayog द्वारा गठित CM पैनल ने फ्लेक्सी फंड घटक को कितने प्रतिशत तक बढ़ाया है?,25, 
योजना आयोग के साथ-साथ NITI Aayog की स्थापना की गई,कैबिनेट का प्रस्ताव, 
"राज्य के सच्चे और झूठे ""एक केंद्रीय मंत्री नीती अयोग के पूर्णकालिक सदस्य बन सकते हैं""","राज्य के सच्चे और झूठे ""एक केंद्रीय मंत्री नीती अयोग के पूर्णकालिक सदस्य बन सकते हैं""...", 
"राज्य के झूठे ""DRDO के पूर्व प्रमुख वी। के। सारस्वत और अर्थशास्त्री बिबेक देबरॉय NITI Aayog के संबंध में इसके पूर्णकालिक सदस्य हैं?""",सच, 
NITI Aayog का पूर्णकालिक संगठनात्मक ढांचा मुख्य कार्यकारी अधिकारी और के होते हैं?,उपाध्यक्ष, 
उपाध्यक्ष,सच, 
"राज्य के झूठे ""NITI Aayog उपाध्यक्ष को कैबिनेट मंत्री का दर्जा और वेतन मिलेगा""","राज्य के झूठे ""NITI Aayog उपाध्यक्ष को कैबिनेट मंत्री का दर्जा और वेतन मिलेगा""", 
NITI Aayog द्वारा स्थापित नवाचार और उद्यमिता पर समिति के अध्यक्ष कौन हैं?,तरुण खन्ना, 
तरुण खन्ना...,योजना आयोग के साथ-साथ NITI Aayog की स्थापना की गई, 
NITI Aayog प्रभावी प्रशासन के निम्नलिखित स्तंभों में से किस पर आधारित है?,NITI Aayog प्रभावी प्रशासन के निम्नलिखित स्तंभों में से किस पर आधारित है?..., 
